ID,Name,Website,Logo,Short Description,Sector,R Strategy 1,R Strategy 2,Is Marketplace?,"Is rental, lend or swap?",Is Reverse Logistics?,Is Resale?,Is Asset Management/Tracking,Is 3rd Sector?,Active?,Dup check
,Unisot,https://unisot.com/,Unisot.png,"THE LEADING TECHNOLOGY FOR SUPPLY CHAIN SUSTAINABILITY. UNISOT solutions can be used to track products from the first raw product producers – to logistics, production, distribution and all the way to the end consumer – preventing waste and unethical practices. Each partner can prove and share detailed product information, enabling customers to make environmentally friendly and sustainable choices.",,R8 Recycle,,No,No,No,No,Yes,Yes,,FALSE
,Unibiz,https://www.unibiz.com/,Unibiz.png,"Enterprise Audio Visual Rental Software
A user friendly, fully configurable, secure rental management software built on 40 years of industry experience and feedback",Unknown,R1 Rethink,,No,Yes,No,No,No,Yes,,FALSE
,TrueTwins,https://truetwins.com/,TrueTwins.png,"TrueTwins’ mission is to provide a trusted and distributed digital ID platform for Brands, creating an ecosystem for Brands, customers, suppliers and service providers to co-create the story of a product. 

TrueTwins is the critical tool to document the authenticity 
and footprint at a product level, creating an ecosystem for all players in this distributed world to document a product’s activity, from birth to its end of life cycle.",,R1 Rethink,,No,No,No,No,Yes,Yes,,FALSE
,Trove,https://trove.com/,Trove.svg,"Resale as a service. ""Build a Profitable Branded Resale Program""",Fashion & Textiles,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Trendful,https://www.trendful.com/,Trendful.svg,"Resale as a service ""Resale software for everyone. One platform with all the resale features your business needs to start, run and scale. Trendful’s software and API power the customer-to-business resale transaction by providing offer, customer, inventory, shipping, and payout management tools.""",,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Treet,https://www.treet.co/,Treet.png,"Resale as a service. ""Drive revenue. Dodge landfills. Helping modern brands grow responsibly through branded resale.""",Fashion & Textiles,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Tradefox,https://get.tradefox.co/,Tradefox.svg,Preventing & recovering losses in the scrap industry.,,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Toys Reloved,https://toysreloved.de/,ToysReloved.png,An app to help families to easily put children's toys back into circulation and connect with other people wanting to buy those second-hand toys.,Retail,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Thrift+,https://thrift.plus/,ThriftPlus.svg,The seamless pre-loved marketplace.,Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Thriftify,https://www.thriftify.co.uk/,Thriftify.svg,"At Thriftify we believe that the future of fashion is cause-based. By getting the used clothes in charity shops for sale online, we can create a world in which our fashion purchases have a positive impact, not a negative one. List used goods faster and more accuratly on multiple platforms",Fashion & Textiles,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,THREDUP,https://www.thredup.com/,ThredUp.svg,Secondhand fashion marketpace,Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,The Real Real,https://www.therealreal.com/,TheRealReal.svg,Secondhand luxury resale platform,Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,The Little Loop,https://thelittleloop.com/,TheLittleLoop.png,"The UK's first shared wardrobe for kids. Where modern parents shop sustainably for their growing children. Users pick the clothes they want, and then swap them when they're done.",Fashion & Textiles,R3 Reuse,R1 Rethink,Yes,Yes,No,Yes,No,Yes,,FALSE
,The Circkel,https://www.thecirkel.com/,TheCirkel.svg,"Secondhand marketplace. ""Reducing the impact of fashion by elevating the second-hand experience.""",Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,The Baby Garage,https://thebabygarage.com/en/,TheBabyGarage.png,"Marketplace for preloved and brand new baby products, based in Egypt.",Retail,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,The Again Co.,https://theagain.co/,TheAgainCo.png,Clothing resale platform.,Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Tern,https://www.tern.eco/,Tern.png,"Tern helps retailers recover product for reuse or resale, creating new revenue streams whilst driving customer loyalty and lifetime value.",Retail,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Swappie,https://swappie.com/,Swappie.png,"Swappie is Europe’s largest iPhone refurbisher and is the leading end-to-end online destination for selling and buying refurbished smartphones. Its mission is to give people a way to upgrade their phones that is high quality, affordable and environmentally-friendly.",IT Hardware,R5 Refurbish,,Yes,No,No,Yes,No,Yes,,FALSE
,Superfy,https://www.superfy.com/,Superfy.svg,"Superfy delivers sustainable smart resource management solutions through technology, empowering enterprises and connecting cities. Our solutions cover waste, recycling, operations, workforce and fleet management.   ",,R8 Recycle,,No,No,No,No,Yes,Yes,,FALSE
,Supercycle,https://www.supercycle.com/,Supercycle.svg,"Supercycle is the rental app for Shopify stores. Manage orders, inventory, returns, and more - all from Shopify.",Retail,R1 Rethink,R3 Reuse,No,Yes,No,No,Yes,Yes,,FALSE
,Spot Material,https://spotmaterial.com/,SpotMaterial.png,"Welcome to the online A—Z of materials for design, circularity and health. A platform filled with data, insight and inspiration to help with sustainable design.",,R1 Rethink,,No,No,No,No,No,Yes,,FALSE
,Spare-it,https://www.spare-it.com/,Spare-it.jpg,"Spare-it use hardware, software, office design and gamification to create sustainable programs, enhance recycling and reduce waste.",Waste Management,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Solid Forest,https://www.solidforest.com/en/index.html,SolidForest.png,Life Cycle Assessment and Environmental Impact calculator,,R1 Rethink,,No,No,No,No,No,Yes,,FALSE
,Sojo,https://www.sojo.uk/,Sojo.svg,An end-to-end solution for fashion brands to embed a repair service into their business.,Fashion & Textiles,R4 Repair,,No,No,No,No,No,Yes,,FALSE
,Sensoneo,https://sensoneo.com/,Sensoneo.svg,"Sensoneo successfully implemented software for Deposit Return Schemes (DRS) in more than five countries achieving a recycling performance exceeding 90%. Additionally, Sensoneo has designed tools to automate waste collection in factories, enabling its customers to improve waste diversion rate and circularity of the location.",,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Scrapo,https://scrapo.com/,Scrapo.svg,Plastic Recycling Marketplace,,R8 Recycle,,Yes,No,No,No,No,Yes,,FALSE
,ScrapAd,https://scrapad.com/en/,Scrapad.png,ScrapAd is a platform for buying and selling scrap and recyclable materials.,,R8 Recycle,,Yes,No,No,No,No,Yes,,FALSE
,SAP Recommerce,https://www.sap.com/products/crm/recommerce.html,SAP.svg,"""Resale as a service. ""Launch and scale a circular commerce business that generates revenue from existing products and aligns with customer values.""",,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Rumage,https://rumage.com/,Rumage.png,Rumage has made it easier to buy second hand. Searching across many sites for you. Kinder on your wallet and lot kinder to the planet.,Retail,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Rubicon,https://www.rubicon.com/about/,Rubicon.svg,"Rubicon is a leading provider of software-based waste, recycling, and fleet operations products for businesses and governments worldwide.",Waste Management,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,RoadRunner modern waste and recycyling,https://www.roadrunnerwm.com/technology,RoadRunner.svg,"Our proprietary OverSite™ technology provides a single platform that houses all customer and operational data, allowing our teams to take action on your waste so you don't have to. From basic service and contract information to vendor performance reporting, our smart waste management technology takes the hassle out of overseeing your operations.",Waste Management,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Rheaply,https://rheaply.com/,Rheaply.svg,"Rheaply is a B2B SaaS resource management technology to scale reuse and the circular economy within organizations, helping lower procurement and storage costs and reduce waste.",,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Reverse Resources,https://reverseresources.net/,ReverseResources.png,"Reverse Resources is a Software-as-a-Service (SaaS) platform to match textile waste with the best possible recycling solutions, enable predictive transparency and build data-driven supply chains.",Fashion & Textiles,R8 Recycle,,No,No,Yes,No,No,Yes,,FALSE
,Reuse Chile,https://www.reuse.cl/,Reuse.png,"A company dedicated to importing, marketing and distributing refurbished technology and open box items, mainly computers and smartphones.",IT Hardware,R5 Refurbish,R3 Reuse,Yes,No,No,No,No,Yes,,FALSE
,ResQ Club,https://www.resq-club.com,ResQClub.svg,"ResQ Club operates a platform that connects restaurants and grocery stores with consumers to sell surplus food at discounted prices, reducing food waste and promoting a circular approach to food consumption.",Waste Management,R2 Reduce,R7 Repurpose,No,No,No,No,No,Yes,,FALSE
,Reskinned,https://www.reskinned.clothing/,Reskinned.svg,"Reskinned are linking up existing solutions with new tech ideas to create more options for people and brands to rehome unwanted clothes. Through resale, repair and innovative recycling, we’re realising a more sustainable fashion future.",Fashion & Textiles,R3 Reuse,R4 Repair,Yes,No,No,Yes,No,Yes,,FALSE
,Reseat,https://www.reseat.com/reseat-new/solutions/,Reseat.png,The first circular marketplace for commercial furniture.,,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Reposit,https://reposit.world/,Reposit.png,"Reposit is delivering a platform to remove the barriers for all stakeholders to transition to reuse. We offer a sustainable and innovative approach to product packaging through packaging as a service, transforming it into a reusable and circular system. By leveraging high-quality, eco-friendly materials and a seamless return infrastructure, Reposit helps businesses reduce waste, lower carbon footprints, and deliver an enhanced consumer experience. It’s a solution designed for brands and retailers committed to sustainability, creating a smarter, greener future for packaging.",,R3 Reuse,,No,No,No,No,Yes,Yes,,FALSE
,Replate,https://www.replate.org,Replate.png,"Replate operates a food waste reduction platform that connects businesses with surplus food to local nonprofits and food banks. Their software facilitates food donations, pickups, and reporting, helping businesses reduce food waste and support communities in need.",Retail,R2 Reduce,,No,No,No,No,No,Yes,,FALSE
,RepairMonitor,https://www.repairmonitor.org/,RepairMonitor.png,A tool to collect and share repair data. Sign up your Repair Café!,,R4 Repair,,No,No,No,No,No,Yes,,FALSE
,Rent the Runway,https://www.renttherunway.com/,RentTheRunway.svg,Reserve an outfit in advance for a specific date with a one-time rental. To keep your wardrobe fresh with new options every month — you’ll love our memberships!,Fashion & Textiles,R3 Reuse,,Yes,Yes,No,No,No,Yes,,FALSE
,RentMy,https://rentmy.co/,RentMy.png,Online Equipment Rental Software For Modern Rental Operators,All/Any,R1 Rethink,,No,Yes,No,No,No,Yes,,FALSE
,Rentman,https://rentman.io/industries/equipment-rental-software,Rentman.svg,Equipment rental platform for events & media productions,Unknown,R1 Rethink,,No,Yes,No,No,Yes,Yes,,FALSE
,Renewtech,https://www.renewtech.com/,Renewtech.svg,Renewtech is your circular IT service provider. We combine a strong focus on sustainability with strengthening your business through circular IT hardware.,IT Hardware,R3 Reuse,R4 Repair,No,No,No,Yes,No,Yes,,FALSE
,Renewd,https://renewd.com.au/,Renewd.svg,"Renewd is the leading reCommerce company in Australia that buys and sells pre-owned consumer Notebooks. We provide our customers with simple selling options by purchasing their used Notebooks and more. We then inspect, certify , refurbish and sell them to consumers looking for a cost-effective way to stay connected.",IT Hardware,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Reliving,https://www.reliving.nl/,Reliving.svg,Marketplace for second-hand and vintage furniture. Shop for a unique interior or sell a piece of furniture that deserves a new life,,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Refurbly,https://refurbly.com.au/,Refurbly.svg,"Provides customers with affordable alternatives to brand new electronics while minimizing environmental impact. By refurbishing and reconditioning pre-owned items, we not only offer significant savings to our customers but also contribute to reducing electronic waste.",IT Hardware,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Refurbishr,https://refurbishr.com/,Refurbishr.png,Our mission is to build software that creates value for the tech refurbishment & reselling industry. We know from experience that generic tools and home-built solutions are inadequate – your business deserves so much more. Our sole focus is leveraging our 9+ years of experience to build solutions tailored to tech recyclers & retailers.,,R5 Refurbish,R3 Reuse,No,No,Yes,No,No,Unknown,,FALSE
,Refurbed,http://www.refurbed.com,Refurbed.svg,"A platform for refurbished products that meet an ambitious set of criteria with regards to safety, quality and their warranty. This empowers consumers to conduct their purchases in an easier, risk-free and sustainable manner.",IT Hardware,R3 Reuse,,Yes,No,No,No,No,Yes,,FALSE
,Reflaunt,https://www.reflaunt.com,Reflaunt.svg,"Reflaunt operates a platform that enables fashion retailers to offer resale and rental options for pre-owned clothing. Their software integrates with retailers' e-commerce platforms, facilitating the listing, sale, and fulfillment of second-hand fashion items, promoting circularity in the fashion industry.",Fashion & Textiles,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Reeblo,https://reebelo.com.au/,Reebelo.svg,"Australia's Marketplace for Sustainable Shopping
Explore a wide variety of used & pre-owned smartphones, laptops, smartwatches, kitchen appliances, and more.",Retail,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Recyclium,https://recyclium.io/,Recyclium.png,A blockchain-based bounty system that tracks products and recyclables and allows them to be returned to producers while fairly rewarding collectors,,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Recycle Smart,https://www.recyclesmart.com/,RecycleSmart.png,They pickup hard-to-recycle things from your doorstep and connect them with our recycling partners.,Waste Management,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Recycle Hero,https://www.recyclehero.de/,RecycleHero.svg,"An impact startup that uses smart, digital, sustainable solutions to ease and accelerate the transition towards a circular economy. Using climate-neutral logistics, it returns recyclable materials such as used textiles back into local cycles, thereby enabling sensible reuse and recycling options.",,R8 Recycle,R3 Reuse,No,No,No,No,No,Yes,,FALSE
,Recurate,https://www.recurate.com/,Recurate.svg,"Resale as a Service: Recurate is the Resale Operating System for your online, in-store, and warehouse systems. We provide brands and retailers with the tools for scaling a resale program, so brands can acquire new customers, better understand & track their behavior, and engage them through the full lifetime. ",Fashion & Textiles,R3 Reuse,,No,No,No,Yes,No,Unknown,,FALSE
,Reconomy,https://www.reconomy.com/what-we-do/reuse/,Reconomy.png,"Delivering end-to-end, omnichannel returns management and logistics solutions that enable sustainable re-use of products and materials.",Retail,R3 Reuse,,No,No,Yes,Yes,No,Yes,,FALSE
,Recompute,https://www.recompute.com.au/,Recompute.png,"One of Australia's largest computer remarketers. Our products are of the highest standard, all come packaged as new and with warranty. Our clients include homes and offices, schools and government departments.",IT Hardware,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Recommerce Group,https://www.recommerce-group.com/en/services/circular-services,RecommerceGroup.svg,"We guide you through the circular economy. We help you manage the second life of used equipment, from buyback to resale, by combining responsibility and profits. In 2021, Recommerce creates CircularX, a SaaS platform that allows all retailers to launch a trade-in, refurbishment, and resale offer in any product category.",Retail,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Recomme,https://www.recomme.co/,Recomme.png,"A 360 degree, white labelled circularity system enabling end of life product management from resale to recycling.",Retail,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Recircular,https://recircular.net/,Recircular.svg,Recircular is an active platform that connects businesses for the valorization of waste as raw materials.,Waste Management,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,ReCapturit,https://www.recapturit.com/,Recapturit.jpg,"An online marketplace built EXCLUSIVELY for architectural salvage. Making it easy for businesses and consumers alike to gain information, education, inspiration, to further amplify the flow of recaptured building materials into new construction and new use. Our online marketplace allows sellers and buyers to connect and keep valuable materials, one of a kind materials and historical artifacts out of the dump.",Construction,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Reboot IT,https://reboot-it.com.au/,RebootIT.png,Find the best refurbished computers online in Australia.,IT Hardware,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Reath,https://reath.id/,Reath.png,Software for reusable packaging,Retail,R3 Reuse,,No,No,No,No,No,Yes,,FALSE
,re4circular,https://re4circular.com/,Re4circular.png,"Re4Circular is a project by Atelier Riforma, an innovative social startup.  Re4Circular, the marketplace that connects the world of used clothing collection with the world of circular fashion that is able to use them as a secondary raw material. To facilitate the process, they developed and patented an automatic cataloging and digitization technology for clothes, based on Artificial Intelligence. Their digital marketplace matches the B2B supply and demand of used clothes, as well as an Artificial Intelligence technology that extracts the useful data for the circular process from the picture of each garment, channelling it to the most efficient way to reuse it.",Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,PRé sustainability,https://pre-sustainability.com/solutions/tools/simapro/,PreSustainability.svg,"Tool SimaPro- SimaPro is one of the leading sustainability and life cycle assessment software, trusted by industry and academia in more than 80 countries.

With SimaPro, you can:
• Determine KPI’s to measure sustainability
• Analyze your sustainability performance with life cycle assessment (LCA)
• Communicate clearly through fact-based sustainability reports
• Generate compliant Environmental Product Declarations (EPD)",,R1 Rethink,,No,No,No,No,No,Yes,,FALSE
,Poshmark,https://poshmark.com/,Poshmark.png,"Buy, sell, and discover fashion, home decor, beauty, and more",Retail,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Polytag Limited,https://www.polytag.io/,Polytag.svg,Polytag is a UK-based tech company on a mission to enable packaging connectivity and circularity.,,R8 Recycle,R3 Reuse,No,No,No,No,Yes,Yes,,FALSE
,PlsReturnIt,https://plsreturnme.com/,PlsReturnMe.svg,"Digital Product Passprot for returning lost items. We designed our special stickers to stick to the stuff most commonly lost: glasses, keys, phones, ski poles, gloves, clothing (yep, they stay on through the wash) and other gear. An easy to use web experience to keep people safe when communicating about lost items. ",,R3 Reuse,,No,No,Yes,No,No,Yes,,FALSE
,Plastship,https://plastship.com/,Plastship.svg,"Your industry network for recycled plastics and plastics recycling
As the first European marketplace for new generation recycled plastics, we provide tools for you to promote the circular economy online and offline.",,R8 Recycle,,Yes,No,No,No,No,Yes,,FALSE
,Plastic Bank,https://plasticbank.com,PlasticBank.svg,"Plastic Bank operates a platform that incentivizes plastic waste collection in developing countries by providing rewards to individuals who gather and recycle plastic. Their software manages the collection and redemption process, promoting plastic recycling and poverty alleviation.",Waste Management,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Phone Check,https://www.phonecheck.com/,Phonecheck.png,"Device certification software. Phonecheck is building trust between buyers and sellers in the secondary market
Fully integrated platform to consolidate clumsy workflows and supercharge your business’ throughput",IT Hardware,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Pentatonic,https://pentatonic.com/,Pentatonic.png,"Pentatonic is a Climate-tech software and services provider that helps the world's biggest corporations and brands unlock the Circular Economy in their products, supply chains and business models - a critical part of the move to Net Zero.",,R1 Rethink,,No,No,No,No,No,Yes,,FALSE
,Peerby,https://www.peerby.com/,Peerby.svg,"Connect through sharing
Lend, borrow, and rent useful things from people near you",All/Any,R1 Rethink,,Yes,Yes,No,Yes,No,Yes,,FALSE
,Parentme,http://www.parentme.at,Parentme.png,Online rental store for baby and kids items.,Fashion & Textiles,R3 Reuse,,Yes,Yes,No,No,No,Yes,,FALSE
,Out and Back Outdoor,https://outandbackoutdoor.com/,OutAndBack.png,"Out&Back strives to mend the rift between worn and wanted - keeping great outdoor gear adventuring for years to come. We create a world where dormant gear awakens with a newfound sense of purpose, where there is no more old vs new - just next.",Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Optoro,https://www.optoro.com,Optoro.svg,Optoro is a reverse logistics technology company that works with retailers and manufacturers to manage and then resell their returned and excess merchandise.,Fashion & Textiles,R3 Reuse,,No,No,Yes,No,No,Yes,,FALSE
,Optel,https://www.optelgroup.com/en/,Optel.svg,"We are leading global provider of traceability, track-and-trace and vision systems for a growing number of industries.",,R1 Rethink,,No,No,No,No,Yes,Yes,,FALSE
,OpenLCA,https://www.openlca.org/,OpenLCA.png,The open source Life Cycle and Sustainability assessment software tool,,R1 Rethink,,No,No,No,No,No,Yes,,FALSE
,Open 3P,https://www.open3p.org/,Open3P.png,Open 3P is an open standard specifically designed for the packaging the packaging value chain,,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,One Click LCA,https://oneclicklca.com/,OneClickLCA.svg,One Click LCA is the world’s leading construction sector Life-Cycle Assessment and Environmental Product Declaration software.,,R1 Rethink,,No,No,No,No,No,Yes,,FALSE
,Olio,https://olioapp.com/en/,Olio.svg,Beat waste with Olio: the app for finding what you need and sharing what you don’t with local people.,,R3 Reuse,,No,Yes,No,No,No,Yes,,FALSE
,Olik,https://olik.ai/,Olik.png,"Digitalizing Circularity Journey for Brands.  With Olik's Repairability, businesses gain complete control over their workshop operations. Our Rental solution empowers businesses to offer products on a temporary basis. Olik's Recommerce solution revolutionizes how businesses manage excess inventory",,R3 Reuse,R4 Repair,No,Yes,No,Yes,No,Yes,,FALSE
,Circular Idea Blender,https://circularideablender.com/,O-Farms.svg,"The Circular Idea Blender is built to inspire entrepreneurs, investors and others in the circular agribusiness ecosystem with real-world examples of companies making food and other useful products out of food waste and byproducts from food production.",Agriculture,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,nuw.,https://www.thenuwardrobe.com/,Nuw.png,Thrift swapping platform for clothes.,Fashion & Textiles,R3 Reuse,,Yes,Yes,No,Yes,No,Yes,,FALSE
,nona-source,https://www.nona-source.com/,NonaSource.png,Nona Source is the first online resale platform which re-values deadstock fabrics from the most exclusive French Maisons de Couture.,Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Newe,https://newe.eco/,Newe.png,"NEWE is Pay for Use (PfU) B2B technological and operational solution that brings together the circular economy to brands. We provide our clients with expertise, technology and operations so that they can offer end users the option of renting products.  ",Fashion & Textiles,R3 Reuse,R1 Rethink,No,Yes,No,No,No,Yes,,FALSE
,MyTurn,https://myturn.com/,myTurn.png,"With a modern cloud-based platform, myTurn combines the best and most essential features of asset tracking, rental, and product subscription services. Their platform helps to easily tap into the emerging Collaborative and Circular Economies.",,R1 Rethink,,No,Yes,No,No,Yes,Yes,,FALSE
,Must Had,https://musthad.com/,MustHad.svg,"MustHad's software enables companies to repurpose, reuse and recycle their end-of-life textile products to minimise new productions and prevent disposal.",Fashion & Textiles,R7 Repurpose,R3 Reuse,No,No,No,No,Yes,Yes,,FALSE
,Molg,https://www.molg.ai/originmark,Molg.svg,"A circular manufacturing company, has developed a new open standard for material traceability called OriginMark™, which enables unprecedented transparency and value recovery opportunities in the circular economy. Used in Molg Microfactory automated Re-X processing today, the OriginMark™ system and services allow automated systems and our partners to identify, track, trace, and quantify devices, components, materials, and their impact through their multiple lives.",,R1 Rethink,,No,No,No,No,Yes,Yes,,FALSE
,Metcycle,https://metycle.com/,Metycle.svg,"METYCLE is designed to facilitate the international trade of these secondary metals digitally. They directly connect trusted buyers and sellers of secondary metals without intermediaries. METYCLE serves as a digital trading platform, offering better prices, better margins, and time savings for both buyers and sellers.",Waste Management,R8 Recycle,,Yes,No,No,Yes,No,Yes,,FALSE
,Merry Go Rounds,https://shopmerrygorounds.com/,MerryGoRounds.png,Second hand online store for kids clothing and gear. Baby equipment rental. Sustainable. Flexible and Cost Effective.,Fashion & Textiles,R3 Reuse,,Yes,Yes,No,No,No,Yes,,FALSE
,Mendit App,https://www.mendit.app/,Mendit.png,"Get your favorite items fixed up and back in your wardrobe in no time! With the MendIt® app, you can quickly and easily connect with professionals who specialize in mending and repairing clothing. Don't let those torn clothes pile up in your closet!",Fashion & Textiles,R4 Repair,,No,No,No,No,No,Yes,,FALSE
,Menddie,https://menddie.co.uk/,Menddie.svg,A small and growing group of professionals who want to standardise care and repair services and make them accessible to everyone.,Fashion & Textiles,R4 Repair,,No,No,No,No,No,Yes,,FALSE
,Max Retail,https://maxretail.com/how-it-works/,MaxRetail.png,An online platform that sells unsold inventory.,Retail,R7 Repurpose,,Yes,No,No,Yes,No,Yes,,FALSE
,Shields MarketPlace Express,https://marketplace.shields-e.com/,MarketplaceExpress.svg,"This circular economy platform empowers telecom operators to source pre-owned, refurbished network equipment and offer their own excess stock for sale.",IT Hardware,R5 Refurbish,,Yes,No,No,Yes,No,Yes,,FALSE
,Makersite,https://makersite.io/we-are-makersite/,Makersite.svg,"Makersite is transforming how products are made by accelerating the transition to a sustainable economy. We’re the leader in delivering supply chain digital twins for product sustainability, risk, and cost optimization for the world’s leading brands. Our technology combines AI, data, and apps to power sustainable product and supply chain decisions at scale, helping manufacturing enterprises solve complex challenges in minutes where previously it would take them months.",,R1 Rethink,,No,No,No,No,Yes,Yes,,FALSE
